"cardmarketId","quantity","name","set","setCode","cn","condition","language","isFirstEd","isReverseHolo","isSigned","price","comment","location","nameDE","nameES","nameFR","nameIT","rarity","listedAt"
"564064","2","Accelgor","Rising Fist","XY3","009","NM","Japanese","true","","","0.49","","","Hydragil [Überfall | Nachbild-Angriff]","Accelgor [Raid | Afterimage Strike]","Limaspeed [Razzia Obscure | Frap'Invisible]","Accelgor [Raid | Afterimage Strike]","Common",""
"838457","1","Accelgor","White Flare JP: Additionals","xsv11W","009","NM","Japanese","","true","","0.2","","","Hydragil [Acid Spray]","Accelgor [Acid Spray]","Limaspeed [Acid Spray]","Accelgor [Acid Spray]","Uncommon",""
"582053","1","Accelgor","Fusion Strike","FST","014","NM","Italian","","","","0.15","","","Hydragil [Ninja Tornado]","Accelgor [Ninja Tornado]","Limaspeed [Ninja Tornado]","Accelgor [Ninja Tornado]","Rare",""
"575558","2","Accelgor","Fusion Arts","s8","008","NM","Japanese","","","","0.1","","","Hydragil [Ninja Tornado]","Accelgor [Ninja Tornado]","Limaspeed [Ninja Tornado]","Accelgor [Ninja Tornado]","Uncommon",""
"807596","3","Accelgor","Battle Partners","sv9","008","NM","Japanese","","","","0.1","","","Hydragil [Cast-off Poison]","Accelgor [Cast-off Poison]","Limaspeed [Cast-off Poison]","Accelgor [Cast-off Poison]","Uncommon",""
"769316","1","Accompanying Flute","Twilight Masquerade","TWM","142","NM","Italian","","","","0.1","","","Begleitende Flöte","Flauta de Acompañamiento","Flûte d'Accompagnement","Flauto d'Accompagnamento","Uncommon",""
"767184","1","Accompanying Flute","Mask of Change","sv6","091","NM","Japanese","","","","0.1","","","Begleitende Flöte","Flauta de Acompañamiento","Flûte d'Accompagnement","Flauto d'Accompagnamento","Uncommon",""
"608675","4","Acerola's Premonition","Brilliant Stars","BRS","129","NM","Italian","","","","0.1","","","Lolas Vorahnung","Presentimiento de Zarala","Prémonition de Margie","Premonizione di Malpi","Uncommon",""
"556742","2","Acro Bike","Remix Bout","sm11a","061","NM","Japanese","","","","1.14","","","Kunstrad","Bici Acrobática","Vélo Cross","Bici da cross","Holo Rare",""
"687717","49","Adaman","VSTAR Universe","s12a","155","NM","Japanese","","","","0.27","","","Diam","Adamas","Adamantin","Damon","Fixed",""
"651032","8","Adaman","Time Gazer","s10D","064","NM","Japanese","","","","0.08","","","Diam","Adamas","Adamantin","Damon","Rare",""
"564467","10","Aegislash","Collection Y","XY1y","040","NM","Japanese","true","","","0.48","","","Aegislash [Stance Change | Buster Swing]","Aegislash [Stance Change | Buster Swing]","Aegislash [Stance Change | Buster Swing]","Aegislash [Stance Change | Buster Swing]","Uncommon",""
"557003","6","Aegislash","Miracle Twin","sm11","041","NM","Japanese","","","","0.15","","","Aegislash [Durable Blade | Trash Slash]","Aegislash [Durable Blade | Trash Slash]","Aegislash [Durable Blade | Trash Slash]","Aegislash [Durable Blade | Trash Slash]","Rare",""
"803224","1","Aegislash","Terastal Festival ex","sv8a","111","NM","Japanese","","","","0.02","","","Durengard [Mysterious Shield | Hard Bashing]","Aegislash [Mysterious Shield | Hard Bashing]","Exagide [Mysterious Shield | Hard Bashing]","Aegislash [Mysterious Shield | Hard Bashing]","Fixed",""
"741909","1","Aegislash ex","Future Flash","sv4M","082","NM","Japanese","","","","0.96","","","Durengard ex [Peerless Edge | Double-Edged Slash]","Aegislash ex [Peerless Edge | Double-Edged Slash]","Exagide ex [Peerless Edge | Double-Edged Slash]","Aegislash ex [Peerless Edge | Double-Edged Slash]","Ultra Rare",""
"741872","8","Aegislash ex","Future Flash","sv4M","045","NM","Japanese","","","","0.3","","","Durengard ex [Peerless Edge | Double-Edged Slash]","Aegislash ex [Peerless Edge | Double-Edged Slash]","Exagide ex [Peerless Edge | Double-Edged Slash]","Aegislash ex [Peerless Edge | Double-Edged Slash]","Double Rare",""
"499755","1","Aegislash V","Shocking Volt Tackle","s4","80","NM","Japanese","","","","0.48","","","Aegislash V [Slash | Sonic Edge]","Aegislash V [Slash | Sonic Edge]","Aegislash V [Slash | Sonic Edge]","Aegislash V [Slash | Sonic Edge]","Double Rare",""
"733737","2","Aerodactyl","151","MEW","142","NM","Italian","","","","0.15","","","Aerodactyl [Glide | Devolution Ray]","Aerodactyl [Glide | Devolution Ray]","Ptéra [Glide | Devolution Ray]","Aerodactyl [Glide | Devolution Ray]","Rare",""
"278629","1","Aerodactyl [GL] Lv. 62","Rising Rivals","RR","55","EX","Italian","","","","0.29","","","Aerodactyl [GL] Lv. 62 [Collect | Primal Breath]","Aerodactyl [GL] Lv. 62 [Collect | Primal Breath]","Ptera [GL] Lv.62 [Collect | Primal Breath]","Aerodactyl [GL] Lv. 62 [Collect | Primal Breath]","Common",""
"557062","2","Aerodactyl GX","Miracle Twin","sm11","100","NM","Japanese","","","","4.49","","","Aerodactyl GX [Primal Winds | Boulder Crush | Wild Dive GX]","Aerodactyl GX [Primal Winds | Boulder Crush | Wild Dive GX]","Aerodactyl GX [Primal Winds | Boulder Crush | Wild Dive GX]","Aerodactyl GX [Primal Winds | Boulder Crush | Wild Dive GX]","Secret Rare",""
"557007","6","Aerodactyl GX","Miracle Twin","sm11","045","NM","Japanese","","","","0.97","","","Aerodactyl GX [Primal Winds | Boulder Crush | Wild Dive GX]","Aerodactyl GX [Primal Winds | Boulder Crush | Wild Dive GX]","Aerodactyl GX [Primal Winds | Boulder Crush | Wild Dive GX]","Aerodactyl GX [Primal Winds | Boulder Crush | Wild Dive GX]","Double Rare",""
"667931","3","Aerodactyl V","Lost Abyss","s11","056","NM","Japanese","","","","0.39","","","Aerodactyl V [Bite | Rock Crush]","Aerodactyl V [Bite | Rock Crush]","Ptéra V [Bite | Rock Crush]","Aerodactyl V [Bite | Rock Crush]","Double Rare",""
"667932","6","Aerodactyl VSTAR","Lost Abyss","s11","057","NM","Japanese","","","","0.49","","","Aerodactyl VSTAR [Lost Dive | Ancient Star]","Aerodactyl V-ASTRO [Lost Dive | Ancient Star]","Ptéra VSTAR [Lost Dive | Ancient Star]","Aerodactyl V ASTRO [Lost Dive | Ancient Star]","Triple Rare",""
"560982","1","Agatha","Jet Black Spirit","s6k","081","NM","Japanese","","","","5.98","","","Agathe","","","","Ultra Rare",""
"560346","1","Aggron","Awakened Heroes","sm4s","034","NM","Japanese","","","","0.99","","","Aggron [Revenge Cannon | Buster Swing]","Aggron [Revenge Cannon | Buster Swing]","Aggron [Revenge Cannon | Buster Swing]","Aggron [Revenge Cannon | Buster Swing]","Rare",""
"769296","3","Aggron","Twilight Masquerade","TWM","122","NM","Italian","","","","0.1","","","Stolloss [Angry Slam | Guard Claw]","Aggron [Angry Slam | Guard Claw]","Galeking [Angry Slam | Guard Claw]","Aggron [Angry Slam | Guard Claw]","Uncommon",""
"699101","1","Aggron Lv.49","Duelist Pack: Chazz Princeton","DP2","","GD","Japanese","","","","5.98","","","Stolloss Lv.49 [Heap Up | Hard Metal]","Aggron Lv.49 [Heap Up | Hard Metal]","Galeking Lv.49 [Heap Up | Hard Metal]","Aggron Lv.49 [Heap Up | Hard Metal]","Holo Rare",""
"588009","5","Aggron V","Start Deck 100","sI100","299","NM","Japanese","","","","1.19","","","Stolloss V [Rock Slide | Merciless Strike]","Aggron V [Rock Slide | Merciless Strike]","Galeking V [Rock Slide | Merciless Strike]","Aggron V [Rock Slide | Merciless Strike]","Fixed",""
"554973","1","Aipom","Alter Genesis","sm12","075","NM","Japanese","","","","0.22","","","Aipom [Scampering Tail | Tail Smack]","Aipom [Scampering Tail | Tail Smack]","Aipom [Scampering Tail | Tail Smack]","Aipom [Scampering Tail | Tail Smack]","Common",""
"656383","2","Aipom","Dark Phantasma","s10a","059","NM","Japanese","","true","","0.1","","","Griffel [Mischievous Tail | Scratch]","Aipom [Mischievous Tail | Scratch]","Capumain [Mischievous Tail | Scratch]","Aipom [Mischievous Tail | Scratch]","Common",""
"665280","12","Aipom","Pokémon GO","PGO","056","NM","Italian","","","","0.05","","","Griffel [Bustle | Slap]","Aipom [Bustle | Slap]","Capumain [Bustle | Slap]","Aipom [Bustle | Slap]","Common",""
"674154","8","Aipom","Lost Origin","LOR","144","NM","Italian","","","","0.05","","","Griffel [Mischievous Tail | Scratch]","Aipom [Mischievous Tail | Scratch]","Capumain [Mischievous Tail | Scratch]","Aipom [Mischievous Tail | Scratch]","Common",""
"740684","1","Aipom","Paradox Rift","PAR","145","NM","Italian","","","","0.05","","","Griffel [Filch | Smack]","Aipom [Filch | Smack]","Capumain [Filch | Smack]","Aipom [Filch | Smack]","Common",""
"769311","7","Aipom","Twilight Masquerade","TWM","137","NM","Italian","","","","0.05","","","Griffel [Hang Down | Playful Kick]","Aipom [Hang Down | Playful Kick]","Capumain [Hang Down | Playful Kick]","Aipom [Hang Down | Playful Kick]","Common",""
"656383","5","Aipom","Dark Phantasma","s10a","059","NM","Japanese","","","","0.05","","","Griffel [Mischievous Tail | Scratch]","Aipom [Mischievous Tail | Scratch]","Capumain [Mischievous Tail | Scratch]","Aipom [Mischievous Tail | Scratch]","Common",""
"664612","1","Aipom","Pokémon GO Enhanced Expansion Pack","s10b","057","NM","Japanese","","","","0.05","","","Griffel [Bustle | Slap]","Aipom [Bustle | Slap]","Capumain [Bustle | Slap]","Aipom [Bustle | Slap]","Common",""
"769256","4","Alakazam","Twilight Masquerade","TWM","082","NM","Italian","","","","0.15","","","Simsala [Strange Hacking | Psychic]","Alakazam [Strange Hacking | Psychic]","Alakazam [Strange Hacking | Psychic]","Alakazam [Strange Hacking | Psychic]","Rare",""
"278612","1","Alakazam [4] Lv.56","Rising Rivals","RR","38","EX","Italian","","true","","4.56","","","Simsala [4] Lv.56 [Recover | Mysterious Beam]","Alakazam [4] Lv.56 [Recover | Mysterious Beam]","Alakazam [4] Lv.56 [Recover | Mysterious Beam]","Alakazam [4] Lv.56 [Recover | Mysterious Beam]","Uncommon",""
"561940","1","Alakazam Spirit Link","The Best of XY","BXY","132","NM","Japanese","","","","2.89","","","Simsalas Geistesbund","Vínculo Espiritual de Alakazam","Lien Spirituel Alakazam","Legame Mentale con Alakazam","Fixed",""
"522185","2","Alcremie","Shiny Star V","s4a","257","NM","Japanese","","","","2.89","","","Alcremie [Decorate | Draining Kiss]","Alcremie [Decorate | Draining Kiss]","Alcremie [Decorate | Draining Kiss]","Alcremie [Decorate | Draining Kiss]","Secret Rare",""
"522185","1","Alcremie","Shiny Star V","s4a","257","EX","Japanese","","","","1.55","","","Alcremie [Decorate | Draining Kiss]","Alcremie [Decorate | Draining Kiss]","Alcremie [Decorate | Draining Kiss]","Alcremie [Decorate | Draining Kiss]","Secret Rare",""
"586940","1","Alcremie","VMAX Climax","s8b","201","EX","Japanese","","","","1.39","","","Pokusan [Additional Order | Rainbow Flavor]","Alcremie [Additional Order | Rainbow Flavor]","Charmilly [Additional Order | Rainbow Flavor]","Alcremie [Additional Order | Rainbow Flavor]","Character Rare",""
"785919","1","Alcremie","Stellar Crown","SCR","065","NM","Italian","","","","0.15","","","Pokusan [Colorful Confection | Magical Shot]","Alcremie [Colorful Confection | Magical Shot]","Charmilly [Colorful Confection | Magical Shot]","Alcremie [Colorful Confection | Magical Shot]","Rare",""
"481024","1","Alcremie V","Legendary Heartbeat","s3a","79","NM","Japanese","","","","6.99","","","Alcremie V [Sugary Sprinkles | Sweet Splash]","Alcremie V [Sugary Sprinkles | Sweet Splash]","Alcremie V [Sugary Sprinkles | Sweet Splash]","Alcremie V [Sugary Sprinkles | Sweet Splash]","Ultra Rare",""
"480784","2","Alcremie V","Legendary Heartbeat","s3a","31","NM","Japanese","","","","0.49","","","Alcremie V [Sugary Sprinkles | Sweet Splash]","Alcremie V [Sugary Sprinkles | Sweet Splash]","Alcremie V [Sugary Sprinkles | Sweet Splash]","Alcremie V [Sugary Sprinkles | Sweet Splash]","Double Rare",""
"480789","1","Alcremie VMAX","Legendary Heartbeat","s3a","32","NM","Japanese","","","","2.89","","","Pokusan VMAX [Zierde | Giga-Rührbesen]","Alcremie VMAX [Adorno | Gigabatidora]","Charmilly VMAX [Décoration | Fouet G-Max]","Alcremie VMAX [Ornamento | Gigafrusta]","Triple Rare",""
"794495","13","Alolan Diglett","Standard Series Promos","SSP","122","NM","Italian","","","","0.05","","","Alola-Digda [Surprise Attack]","Diglett de Alola [Surprise Attack]","Taupiqueur d'Alola [Surprise Attack]","Diglett di Alola [Surprise Attack]","Common",""
"558148","2","Alolan Diglett","Full Metal Wall","sm9b","030","NM","Japanese","","","","0.05","","","Alola-Digda [Ramme]","Alolan Diglett [Ram]","Alolan Diglett [Ram]","Alolan Diglett [Ram]","Common",""
"558923","1","Alolan Diglett","Thunderclap Spark","sm7a","035","NM","Japanese","","","","0.05","","","Alolan Diglett [Call for Family]","Alolan Diglett [Call for Family]","Alolan Diglett [Call for Family]","Alolan Diglett [Call for Family]","Common",""
"793510","3","Alolan Diglett","Super Electric Breaker","sv8","076","NM","Japanese","","","","0.05","","","Alola-Digda [Surprise Attack]","Diglett de Alola [Surprise Attack]","Taupiqueur d'Alola [Surprise Attack]","Diglett di Alola [Surprise Attack]","Common",""
"561715","1","Alolan Dugtrio","Collection Sun","sm1S","038","NM","Japanese","","","","1.36","","","Alola-Digdri [Schaufel unter]","Dugtrio de Alola [Enterrarse]","Triopikeur d'Alola [Terrassement]","Alolan Dugtrio [Attacco Sotterraneo]","Rare",""
"794496","5","Alolan Dugtrio","Standard Series Promos","SSP","123","NM","Italian","","","","0.1","","","Alola-Digdri [Trio-Cheehoo]","Dugtrio de Alola [Trio-Cheehoo]","Triopikeur d'Alola [Trio-Cheehoo]","Dugtrio di Alola [Trio-Cheehoo]","Uncommon",""
"793511","3","Alolan Dugtrio","Super Electric Breaker","sv8","077","NM","Japanese","","","","0.1","","","Alola-Digdri [Trio-Cheehoo]","Dugtrio de Alola [Trio-Cheehoo]","Triopikeur d'Alola [Trio-Cheehoo]","Dugtrio di Alola [Trio-Cheehoo]","Uncommon",""
"787600","6","Alolan Exeggutor ex","Paradise Dragona","sv7a","040","NM","Japanese","","","","0.3","","","Alola-Kokowei ex [Tropical Fever | Swinging Sphene]","Exeggutor de Alola ex [Tropical Fever | Swinging Sphene]","Noadkoko de Alola ex [Tropical Fever | Swinging Sphene]","Exeggutor di Alola ex [Tropical Fever | Swinging Sphene]","Double Rare",""
"560283","1","Alolan Exeggutor GX","Ultradimensional Beasts","sm4a","037","NM","Japanese","","","","2.99","","","Alolan Exeggutor GX [Tropical Head | Dragon Hammer | Tower-Go-Round GX]","Alolan Exeggutor GX [Tropical Head | Dragon Hammer | Tower-Go-Round GX]","Alolan Exeggutor GX [Tropical Head | Dragon Hammer | Tower-Go-Round GX]","Alolan Exeggutor GX [Tropical Head | Dragon Hammer | Tower-Go-Round GX]","Double Rare",""
"664686","1","Alolan Exeggutor V","Pokémon GO Enhanced Expansion Pack","s10b","072","NM","Japanese","","","","1.49","","","Alola-Kokowei V [Growing Tall | Head Swing]","Exeggutor de Alola V [Growing Tall | Head Swing]","Noadkoko de Alola V [Growing Tall | Head Swing]","Exeggutor di Alola V [Growing Tall | Head Swing]","Secret Rare",""
"664541","10","Alolan Exeggutor V","Pokémon GO Enhanced Expansion Pack","s10b","005","NM","Japanese","","","","0.3","","","Alola-Kokowei V [Growing Tall | Head Swing]","Exeggutor de Alola V [Growing Tall | Head Swing]","Noadkoko de Alola V [Growing Tall | Head Swing]","Exeggutor di Alola V [Growing Tall | Head Swing]","Double Rare",""
"561419","2","Alolan Geodude","Alolan Moonlight","sm2l","015","NM","Japanese","","","","0.2","","","Alolan Geodude [Rock Polish | Rollout]","Alolan Geodude [Rock Polish | Rollout]","Racaillou d'Alola [Rock Polish | Rollout]","Alolan Geodude [Rock Polish | Rollout]","Common",""
"560330","2","Alolan Golem GX","Awakened Heroes","sm4s","018","EX","Japanese","","","","3","","","Alolan Golem GX [Hammer In | Super Electromagnetic Tackle | Heavy Rock GX]","Alolan Golem GX [Hammer In | Super Electromagnetic Tackle | Heavy Rock GX]","Alolan Golem GX [Hammer In | Super Electromagnetic Tackle | Heavy Rock GX]","Alolan Golem GX [Hammer In | Super Electromagnetic Tackle | Heavy Rock GX]","Double Rare",""
"561420","1","Alolan Graveler","Alolan Moonlight","sm2l","016","NM","Japanese","","","","0.69","","","Alolan Graveler [Thunder Punch | Electrobullet]","Alolan Graveler [Thunder Punch | Electrobullet]","Gravalanch d'Alola [Thunder Punch | Electrobullet]","Alolan Graveler [Thunder Punch | Electrobullet]","Common",""
"558592","11","Alolan Grimer","Dark Order","sm8a","018","NM","Japanese","","","","0.05","","","Alolan Grimer [Chemical Breath]","Alolan Grimer [Chemical Breath]","Alolan Grimer [Chemical Breath]","Alolan Grimer [Chemical Breath]","Common",""
"561624","2","Alolan Muk","Collection Moon","sm1M","023","NM","Japanese","","","","0.78","","","Alola-Sleimok [Knirscher]","Muk de Alola [Triturar]","Grotadmorv d'Alola [Mâchouille]","Muk di Alola [Sgranocchio]","Rare",""
"558593","8","Alolan Muk","Dark Order","sm8a","019","NM","Japanese","","","","0.1","","","Alolan Muk [Adventurous Appetite | Gunk Shot]","Alolan Muk [Adventurous Appetite | Gunk Shot]","Alolan Muk [Adventurous Appetite | Gunk Shot]","Alolan Muk [Adventurous Appetite | Gunk Shot]","Uncommon",""
"561097","6","Alolan Muk GX","To Have Seen the Battle Rainbow","sm3h","033","NM","Japanese","","","","3.98","","","Alolan Muk GX [Chemical Breath | Crunch | Tri Hazard GX]","Alolan Muk GX [Chemical Breath | Crunch | Tri Hazard GX]","Alolan Muk GX [Chemical Breath | Crunch | Tri Hazard GX]","Alolan Muk GX [Chemical Breath | Crunch | Tri Hazard GX]","Double Rare",""
"561217","1","Alolan Ninetales","Facing a New Trial","sm2+","014","NM","Japanese","","","","7","","","Alolan Ninetales [Luminous Barrier | Aurora Beam]","Alolan Ninetales [Luminous Barrier | Aurora Beam]","Alolan Ninetales [Luminous Barrier | Aurora Beam]","Alolan Ninetales [Luminous Barrier | Aurora Beam]","Fixed",""
"561217","1","Alolan Ninetales","Facing a New Trial","sm2+","014","NM","Japanese","","true","","5","","","Alolan Ninetales [Luminous Barrier | Aurora Beam]","Alolan Ninetales [Luminous Barrier | Aurora Beam]","Alolan Ninetales [Luminous Barrier | Aurora Beam]","Alolan Ninetales [Luminous Barrier | Aurora Beam]","Fixed",""
"550941","4","Alolan Ninetales","GX Ultra Shiny","sm8b","089","NM","Japanese","","","","1.19","","","Alolan Ninetales [Luminous Barrier | Aurora Beam]","Alolan Ninetales [Luminous Barrier | Aurora Beam]","Alolan Ninetales [Luminous Barrier | Aurora Beam]","Alolan Ninetales [Luminous Barrier | Aurora Beam]","Fixed",""
"554911","4","Alolan Ninetales","Alter Genesis","sm12","056","NM","Japanese","","","","0.84","","","Alolan Ninetales [Rubbish Blizzard]","Alolan Ninetales [Rubbish Blizzard]","Alolan Ninetales [Rubbish Blizzard]","Alolan Ninetales [Rubbish Blizzard]","Rare",""
"558878","2","Alolan Ninetales GX","Fairy Rise","sm7b","053","EX","Japanese","","","","10.4","","","Alolan Ninetales GX [Mysterious Guidance | Snowy Wind | Sublimation GX]","Alolan Ninetales GX [Mysterious Guidance | Snowy Wind | Sublimation GX]","Alolan Ninetales GX [Mysterious Guidance | Snowy Wind | Sublimation GX]","Alolan Ninetales GX [Mysterious Guidance | Snowy Wind | Sublimation GX]","Secret Rare",""
"558850","1","Alolan Ninetales GX","Fairy Rise","sm7b","025","NM","Japanese","","","","2.24","","","Alolan Ninetales GX [Mysterious Guidance | Snowy Wind | Sublimation GX]","Alolan Ninetales GX [Mysterious Guidance | Snowy Wind | Sublimation GX]","Alolan Ninetales GX [Mysterious Guidance | Snowy Wind | Sublimation GX]","Alolan Ninetales GX [Mysterious Guidance | Snowy Wind | Sublimation GX]","Double Rare",""
"544101","12","Alolan Ninetales GX","Tag Team GX: Tag All Stars","sm12a","095","NM","Japanese","","","","0.79","","","Alolan Ninetales GX [Mysterious Guidance | Snowy Wind | Sublimation GX]","Alolan Ninetales GX [Mysterious Guidance | Snowy Wind | Sublimation GX]","Alolan Ninetales GX [Mysterious Guidance | Snowy Wind | Sublimation GX]","Alolan Ninetales GX [Mysterious Guidance | Snowy Wind | Sublimation GX]","Double Rare",""
"556772","1","Alolan Persian GX","Remix Bout","sm11a","071","EX","Japanese","","","","2.4","","","Alolan Persian GX [Smug Face | Claw Slash | Stalking Claws GX]","Alolan Persian GX [Smug Face | Claw Slash | Stalking Claws GX]","Alolan Persian GX [Smug Face | Claw Slash | Stalking Claws GX]","Alolan Persian GX [Smug Face | Claw Slash | Stalking Claws GX]","Secret Rare",""
"556677","6","Alolan Persian GX","Remix Bout","sm11a","040","NM","Japanese","","","","0.88","","","Alolan Persian GX [Smug Face | Claw Slash | Stalking Claws GX]","Alolan Persian GX [Smug Face | Claw Slash | Stalking Claws GX]","Alolan Persian GX [Smug Face | Claw Slash | Stalking Claws GX]","Alolan Persian GX [Smug Face | Claw Slash | Stalking Claws GX]","Double Rare",""
"556677","1","Alolan Persian GX","Remix Bout","sm11a","040","GD","Japanese","","","","0.35","","","Alolan Persian GX [Smug Face | Claw Slash | Stalking Claws GX]","Alolan Persian GX [Smug Face | Claw Slash | Stalking Claws GX]","Alolan Persian GX [Smug Face | Claw Slash | Stalking Claws GX]","Alolan Persian GX [Smug Face | Claw Slash | Stalking Claws GX]","Double Rare",""
"561034","1","Alolan Rattata","Darkness that Consumes Light","sm3n","034","NM","Japanese","","","","0.3","","","Alolan Rattata [Focus Energy | Bite]","Alolan Rattata [Focus Energy | Bite]","Rattata d'Alola [Focus Energy | Bite]","Alolan Rattata [Focus Energy | Bite]","Common",""
